time,place,temparature,humidity
2018.01.01,구미,1.9,36
2018.01.01,홍천,-9.9,77
2018.01.01,부여,-2.1,77
2018.01.01,서울,-1.6,32
2018.01.02,구미,-1.2,71
2018.01.02,홍천,-9.2,79
2018.01.02,부여,-2.4,91
2018.01.02,서울,-1.4,50
2018.01.03,구미,-0.3,32
2018.01.03,홍천,-9.7,71
2018.01.03,부여,-1.9,52
2018.01.03,서울,-5.6,38
2018.01.04,구미,-1.3,58
2018.01.04,홍천,-11.3,76
2018.01.04,부여,-3.9,52
2018.01.04,서울,-6.4,43
2018.01.05,구미,0.9,39
2018.01.05,홍천,-7.4,76
2018.01.05,부여,-0.7,51
2018.01.05,서울,-3.3,50
2018.01.06,구미,0.9,42
2018.01.06,홍천,-10.3,80
2018.01.06,부여,-2.0,77
2018.01.06,서울,-3.5,39
2018.01.07,구미,-2.6,73
2018.01.07,홍천,-9.5,78
2018.01.07,부여,-3.2,75
2018.01.07,서울,-1.8,40
2018.01.08,구미,0.7,87
2018.01.08,홍천,-0.8,76
2018.01.08,부여,0.6,98
2018.01.08,서울,1.3,43
2018.01.09,구미,-0.5,57
2018.01.09,홍천,-5.3,51
2018.01.09,부여,-0.2,73
2018.01.09,서울,-4.8,57
2018.01.10,구미,-1.8,39
2018.01.10,홍천,-7.1,48
2018.01.10,부여,-4.9,78
2018.01.10,서울,-6.9,53
2018.01.11,구미,-6.9,56
2018.01.11,홍천,-13.5,67
2018.01.11,부여,-10.7,90
2018.01.11,서울,-11.1,46
2018.01.12,구미,-7.4,50
2018.01.12,홍천,-16.9,69
2018.01.12,부여,-10.5,76
2018.01.12,서울,-13.0,37
2018.01.13,구미,-4.1,85
2018.01.13,홍천,-11.5,58
2018.01.13,부여,-4.3,77
2018.01.13,서울,-5.5,72
2018.01.14,구미,-3.5,93
2018.01.14,홍천,-7.1,77
2018.01.14,부여,-6.0,95
2018.01.14,서울,-2.1,72
2018.01.15,구미,1.6,76
2018.01.15,홍천,5.0,77
2018.01.15,부여,4.6,70
2018.01.15,서울,4.2,82
2018.01.16,구미,2.8,79
2018.01.16,홍천,-0.9,79
2018.01.16,부여,1.5,93
2018.01.16,서울,2.7,60
2018.01.17,구미,1.9,99
2018.01.17,홍천,1.6,74
2018.01.17,부여,4.1,94
2018.01.17,서울,4.3,58
2018.01.18,구미,5.9,82
2018.01.18,홍천,-0.3,93
2018.01.18,부여,2.7,98
2018.01.18,서울,1.4,81
2018.01.19,구미,1.9,61
2018.01.19,홍천,-2.6,69
2018.01.19,부여,-0.7,82
2018.01.19,서울,0.0,29
2018.01.20,구미,0.0,61
2018.01.20,홍천,-2.8,63
2018.01.20,부여,-1.9,79
2018.01.20,서울,2.1,60
2018.01.21,구미,0.1,89
2018.01.21,홍천,-6.2,85
2018.01.21,부여,-3.1,98
2018.01.21,서울,-1.3,37
2018.01.22,구미,3.4,55
2018.01.22,홍천,-1.9,61
2018.01.22,부여,2.3,62
2018.01.22,서울,1.1,31
2018.01.23,구미,-4.0,29
2018.01.23,홍천,-12.4,40
2018.01.23,부여,-6.7,43
2018.01.23,서울,-12.1,34
2018.01.24,구미,-9.5,22
2018.01.24,홍천,-15.1,27
2018.01.24,부여,-11.0,35
2018.01.24,서울,-14.5,24
2018.01.25,구미,-9.7,38
2018.01.25,홍천,-17.7,66
2018.01.25,부여,-10.6,51
2018.01.25,서울,-15.3,33
2018.01.26,구미,-9.7,40
2018.01.26,홍천,-17.9,59
2018.01.26,부여,-10.2,49
2018.01.26,서울,-16.5,33
2018.01.27,구미,-9.9,51
2018.01.27,홍천,-18.1,65
2018.01.27,부여,-11.1,53
2018.01.27,서울,-12.3,35
2018.01.28,구미,-2.4,31
2018.01.28,홍천,-7.5,56
2018.01.28,부여,-3.1,46
2018.01.28,서울,-5.9,35
2018.01.29,구미,-4.3,23
2018.01.29,홍천,-11.7,55
2018.01.29,부여,-5.3,43
2018.01.29,서울,-9.5,28
2018.01.30,구미,-3.7,42
2018.01.30,홍천,-13.9,62
2018.01.30,부여,-6.8,71
2018.01.30,서울,-7.5,42
2018.01.31,구미,-2.1,71
2018.01.31,홍천,-2.3,61
2018.01.31,부여,-0.7,68
2018.01.31,서울,-2.3,63
